Transaction_ID,Date,Customer_ID,Product_ID,Quantity,Price,Total,Payment_Method
1,1/1/2023,8270,P0029,5.0,49.37,246.85,PayPal
2,1/2/2023,1860,P0055,10.0,608.03,6080.3,Debit Card
3,1/3/2023,6390,P0003,9.0,908.31,8174.79,Credit Card
4,1/4/2023,6191,P0032,5.0,246.47,1232.35,Credit Card
5,1/5/2023,6734,P0010,2.0,474.95,949.9,PayPal
6,1/6/2023,7265,P0074,5.0,455.96,2279.8,PayPal
7,1/7/2023,1466,P0083,4.0,478.24,1912.96,PayPal
8,1/8/2023,5426,P0034,7.0,626.29,4384.03,Credit Card
9,1/9/2023,6578,P0097,6.0,475.05,2850.3,Debit Card
10,1/10/2023,9322,P0087,2.0,452.99,905.98,Debit Card
11,1/11/2023,2685,P0055,5.0,479.55,2397.75,Credit Card
12,1/12/2023,1769,P0092,7.0,594.96,4164.72,Cash
13,1/13/2023,7949,P0032,7.0,541.64,3791.48,Debit Card
14,1/14/2023,3433,P0050,5.0,855.59,4277.95,PayPal
15,1/15/2023,6311,P0007,9.0,59.0,531.0,Cash
16,1/16/2023,6051,P0093,4.0,834.98,3339.92,Cash
17,1/17/2023,7420,P0008,3.0,845.49,2536.47,Debit Card
18,1/18/2023,2184,P0065,4.0,292.06,1168.24,Cash
19,1/19/2023,5555,P0057,5.0,468.22,2341.1,Cash
20,1/20/2023,4385,P0067,6.0,444.15,2664.9,Debit Card
21,1/21/2023,7396,P0088,3.0,226.32,678.96,Debit Card
22,1/22/2023,9666,P0087,2.0,402.83,805.66,Cash
23,1/23/2023,3558,P0059,4.0,53.94,215.76,PayPal
24,1/24/2023,8849,P0072,5.0,285.04,1425.2,Credit Card
25,1/25/2023,3047,P0054,4.0,818.52,3274.08,Cash
26,,3747,P0067,3.0,291.72,875.16,Cash
27,,1189,P0051,8.0,820.02,6560.16,PayPal
28,1/28/2023,3734,P0097,10.0,,5362.8,Cash
29,1/29/2023,4005,P0092,4.0,881.06,3524.24,Cash
30,1/30/2023,5658,P0008,2.0,579.03,1158.06,Credit Card
31,1/31/2023,2899,P0034,2.0,39.37,78.74,Credit Card
32,2/1/2023,8734,P0035,1.0,678.67,678.67,Credit Card
33,2/2/2023,2267,P0096,4.0,54.41,217.64,Debit Card
34,2/3/2023,2528,P0088,10.0,456.09,4560.9,Debit Card
35,2/4/2023,4556,P0078,9.0,930.13,8371.17,Credit Card
36,2/5/2023,4890,P0032,7.0,173.55,1214.85,Credit Card
37,2/6/2023,9838,P0046,,395.97,3959.7,Debit Card
38,2/7/2023,6393,P0016,7.0,732.56,5127.92,PayPal
39,2/8/2023,9792,P0068,7.0,883.44,6184.08,Cash
40,2/9/2023,9433,P0037,,674.23,5393.84,Cash
41,2/10/2023,8513,P0054,1.0,265.59,265.59,Credit Card
42,2/11/2023,3612,P0085,10.0,677.86,6778.6,PayPal
43,2/12/2023,8041,P0014,10.0,303.76,3037.6,Debit Card
44,2/13/2023,7235,P0095,8.0,721.24,5769.92,Credit Card
45,2/14/2023,6486,P0055,4.0,954.49,3817.96,PayPal
46,2/15/2023,8099,P0048,4.0,724.18,2896.72,PayPal
47,2/16/2023,1775,P0082,4.0,864.25,3457.0,PayPal
48,2/17/2023,9226,P0007,6.0,12.08,72.48,Debit Card
49,2/18/2023,4152,P0074,,720.4,5042.8,Debit Card
50,2/19/2023,2585,P0007,6.0,831.29,4987.74,Cash
51,2/20/2023,4943,P0033,1.0,50.15,50.15,Cash
52,2/21/2023,8555,P0023,8.0,872.88,6983.04,PayPal
53,2/22/2023,4073,P0085,10.0,264.13,2641.3,PayPal
54,2/23/2023,2021,P0019,7.0,668.64,4680.48,Debit Card
55,2/24/2023,4843,P0019,6.0,802.35,4814.1,Cash
56,2/25/2023,8989,P0036,6.0,666.04,3996.24,PayPal
57,2/26/2023,7873,P0029,5.0,101.36,506.8,Cash
58,2/27/2023,6675,P0060,6.0,,3602.16,Cash
59,2/28/2023,1161,P0082,9.0,554.09,4986.81,PayPal
60,3/1/2023,5297,P0002,10.0,901.32,9013.2,Debit Card
61,3/2/2023,1995,P0001,,410.2,3691.8,PayPal
62,3/3/2023,8629,P0047,10.0,327.87,3278.7,PayPal
63,3/4/2023,2016,P0069,8.0,752.35,6018.8,Cash
64,3/5/2023,8869,P0020,10.0,418.55,4185.5,PayPal
65,3/6/2023,7439,P0011,9.0,649.64,5846.76,Debit Card
66,3/7/2023,8892,P0002,10.0,649.99,6499.9,PayPal
67,3/8/2023,7863,P0067,8.0,889.16,7113.28,Debit Card
68,3/9/2023,8916,P0087,8.0,602.71,4821.68,Debit Card
69,3/10/2023,9529,P0012,1.0,507.13,507.13,Cash
70,3/11/2023,1878,P0020,10.0,147.48,1474.8,Credit Card
71,3/12/2023,5887,P0005,5.0,124.58,622.9,Credit Card
72,,5859,P0037,4.0,162.78,651.12,Cash
73,3/14/2023,7331,P0038,2.0,180.13,360.26,PayPal
74,3/15/2023,9571,P0094,8.0,641.5,5132.0,Cash
75,3/16/2023,9684,P0009,3.0,743.57,2230.71,Debit Card
76,3/17/2023,8208,P0098,4.0,534.69,2138.76,Credit Card
77,3/18/2023,6276,P0053,7.0,830.73,5815.11,Cash
78,3/19/2023,3062,P0044,10.0,991.35,9913.5,PayPal
79,3/20/2023,1064,P0099,9.0,821.81,7396.29,Cash
80,3/21/2023,9006,P0086,2.0,697.93,1395.86,Credit Card
81,3/22/2023,3568,P0024,3.0,537.17,1611.51,Cash
82,3/23/2023,6463,P0081,,454.36,1817.44,Cash
83,,3027,P0074,10.0,93.55,935.5,Credit Card
84,3/25/2023,3695,P0030,1.0,405.38,405.38,Debit Card
85,3/26/2023,6258,P0059,7.0,911.03,6377.21,Debit Card
86,3/27/2023,6618,P0087,2.0,809.94,1619.88,Credit Card
87,3/28/2023,7736,P0096,5.0,223.89,1119.45,cash
88,3/29/2023,1391,P0081,1.0,471.94,471.94,Credit Card
89,3/30/2023,6892,P0081,3.0,818.56,2455.68,Debit Card
90,3/31/2023,4561,P0014,2.0,,153.42,PayPal
91,4/1/2023,7184,P0009,,393.52,393.52,Cash
92,4/2/2023,4099,P0040,7.0,853.32,5973.24,Debit Card
93,4/3/2023,7278,P0066,5.0,409.86,2049.3,Cash
94,4/4/2023,9392,P0025,1.0,86.84,86.84,Credit Card
95,4/5/2023,4104,P0073,6.0,547.11,3282.66,PayPal
96,4/6/2023,8215,P0022,5.0,863.13,4315.65,Credit Card
97,4/7/2023,3454,P0004,,594.38,1783.14,PayPal
98,4/8/2023,9996,P0026,7.0,234.02,1638.14,Cash
99,4/9/2023,3731,P0058,10.0,390.4,3904.0,Cash
100,4/10/2023,9154,P0029,9.0,455.62,4100.58,Credit Card
101,4/11/2023,6056,P0098,9.0,,5251.23,PayPal
102,4/12/2023,9110,P0087,9.0,761.76,6855.84,PayPal
103,4/13/2023,4840,P0037,2.0,107.88,215.76,Cash
104,4/14/2023,2028,P0075,3.0,890.76,2672.28,Credit Card
105,4/15/2023,8385,P0070,,22.19,155.33,PayPal
106,,1502,P0018,5.0,376.35,1881.75,Cash
107,4/17/2023,7910,P0085,2.0,37.15,74.3,Debit Card
108,4/18/2023,7938,P0042,3.0,399.04,1197.12,Credit Card
109,4/19/2023,5488,P0100,10.0,,5305.5,Debit Card
110,4/20/2023,1206,P0041,6.0,516.56,3099.36,Credit Card
111,4/21/2023,6134,P0038,7.0,173.97,1217.79,Cash
112,4/22/2023,6977,P0034,9.0,,5843.52,PayPal
113,4/23/2023,8721,P0017,1.0,54.33,54.33,PayPal
114,4/24/2023,8035,P0037,7.0,764.29,5350.03,PayPal
115,,2484,P0025,8.0,947.18,7577.44,Credit Card
116,4/26/2023,8858,P0076,3.0,346.37,1039.11,Cash
117,4/27/2023,1863,P0087,4.0,522.07,2088.28,Debit Crd
